,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,46184.9921875,48003.72265625,45166.9609375,46481.10546875,46481.10546875,91809846886.0,1746.9261474609375,1815.963623046875,1711.62060546875,1768.0350341796875,1768.0350341796875,44180727529.0,3910.489990234375,3918.35009765625,3902.639892578125,3911.22998046875,3911.22998046875,4554610000.0,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,135.57623291015625,76774200.0
2021-02-10,46469.76171875,47145.56640625,43881.15234375,44918.18359375,44918.18359375,87301089896.0,1768.039794921875,1826.69677734375,1686.5423583984375,1744.243408203125,1744.243408203125,41916084617.0,3920.780029296875,3931.5,3884.93994140625,3909.8798828125,3909.8798828125,4815380000.0,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,134.9582061767578,73046600.0
2021-02-11,44898.7109375,48463.46875,44187.76171875,47909.33203125,47909.33203125,81388911810.0,1743.7142333984375,1806.5390625,1708.67919921875,1783.7979736328125,1783.7979736328125,36021495262.0,3916.39990234375,3925.989990234375,3890.389892578125,3916.3798828125,3916.3798828125,4570080000.0,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,134.6990509033203,64280000.0
2021-02-12,47877.03515625,48745.734375,46424.9765625,47504.8515625,47504.8515625,76555041196.0,1783.4891357421875,1861.35693359375,1744.1689453125,1843.5325927734375,1843.5325927734375,37905036865.0,3911.64990234375,3937.22998046875,3905.780029296875,3934.830078125,3934.830078125,4119260000.0,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,134.93826293945312,60145100.0
2021-02-13,47491.203125,48047.74609375,46392.28125,47105.515625,47105.515625,70250456155.0,1843.98681640625,1871.603515625,1770.612060546875,1814.10986328125,1814.10986328125,35359490535.0,,,,,,,,,,,,
2021-02-14,47114.5078125,49487.640625,47114.5078125,48717.2890625,48717.2890625,71248675228.0,1814.372314453125,1848.154052734375,1789.9141845703125,1805.0841064453125,1805.0841064453125,31439114900.0,,,,,,,,,,,,
2021-02-15,48696.53515625,48875.5703125,46347.4765625,47945.05859375,47945.05859375,77069903166.0,1804.6767578125,1833.83056640625,1683.9066162109375,1779.791015625,1779.791015625,38955610883.0,,,,,,,,,,,,
2021-02-16,47944.45703125,50341.1015625,47201.3046875,49199.87109375,49199.87109375,77049582886.0,1778.945556640625,1824.5186767578125,1729.6419677734375,1781.0675048828125,1781.0675048828125,34269369268.0,3939.610107421875,3950.429931640625,3923.85009765625,3932.590087890625,3932.590087890625,5037360000.0,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,132.76524353027344,80576300.0
2021-02-17,49207.27734375,52533.9140625,49072.37890625,52149.0078125,52149.0078125,80820545404.0,1781.35009765625,1853.6676025390625,1736.705810546875,1848.458251953125,1848.458251953125,35955412703.0,3918.5,3933.610107421875,3900.429931640625,3931.330078125,3931.330078125,4718280000.0,131.25,132.22000122070312,129.47000122070312,130.83999633789062,130.4227294921875,97918500.0
2021-02-18,52140.97265625,52474.10546875,51015.765625,51679.796875,51679.796875,52054723579.0,1848.206298828125,1949.9034423828125,1848.206298828125,1937.44921875,1937.44921875,28255902969.0,3915.860107421875,3921.97998046875,3885.030029296875,3913.969970703125,3913.969970703125,4773430000.0,129.1999969482422,130.0,127.41000366210938,129.7100067138672,129.29632568359375,96856700.0
